id,deal_id,product_id,product_variant_options_id,quantity
1,1,188,4,1
2,1,190,24,1
3,1,195,31,2
4,13,347,640,1
5,13,192,28,1
6,13,348,645,1
7,14,343,631,1
8,14,344,633,1
9,14,231,157,1
10,15,348,645,2
11,15,350,652,1
12,15,190,24,1
13,16,351,654,2
14,16,188,4,2
15,6,188,2,1
16,6,188,1,1
17,7,190,24,1
18,7,345,NULL,1
19,8,346,635,1
20,8,347,647,1
21,9,231,157,1
22,9,345,NULL,1
23,10,351,654,1
24,10,188,648,1
25,11,349,649,1
26,11,345,NULL,1
27,12,350,652,1
28,12,343,630,1
29,3,349,649,1
30,3,190,23,1
31,3,351,653,1
32,3,352,NULL,2
33,17,190,24,1
34,17,231,156,1
35,17,352,NULL,2
36,18,191,25,1
37,18,351,654,1
38,18,231,156,1
39,18,353,NULL,3
40,19,347,639,1
41,19,188,4,1
42,19,350,651,1
43,20,188,4,1
44,20,350,651,1
45,21,188,4,1
46,21,350,652,2
47,22,354,NULL,1
48,22,352,NULL,1
49,23,355,NULL,1
50,23,188,648,1
51,24,188,2,1
52,24,188,648,1
53,25,351,654,1
54,25,188,648,1
55,26,350,652,1
56,26,188,648,1
87,27,188,4,1
88,27,347,638,1
89,28,347,639,1
90,28,188,648,1
91,29,188,3,5
92,30,188,4,5
93,31,188,2,3
94,32,350,652,3
95,33,188,4,1
96,33,350,652,2
97,34,349,649,1
98,34,348,645,1
99,34,356,NULL,1
100,34,345,NULL,2
101,35,355,NULL,1
102,35,357,NULL,1
103,35,345,NULL,2
104,36,355,NULL,1
105,36,358,NULL,1
106,36,359,NULL,1
107,36,353,NULL,2
108,37,360,NULL,1
109,37,361,NULL,1
110,37,357,NULL,1
111,37,345,NULL,2
112,38,188,4,1
113,38,350,651,1
114,39,188,4,1
115,39,188,3,2
116,39,350,651,1
117,40,188,4,3
118,40,347,638,1
119,41,350,651,3
120,41,347,638,2
121,41,188,4,1
122,42,347,639,1
123,42,188,3,1
124,42,350,652,1
