id,product_variant_id,name,status
630,130,Minor,1
631,130,Major,1
632,131,Minor,1
633,131,Major,1
634,132,Minor,1
635,132,Major,1
636,133,Minor,1
637,133,Major,1
638,133,Mini,1
639,133,Family,1
640,133,Party,1
641,134,Nacho Cheese,1
642,134,Sour Cream,1
643,134,Texan Barbeque,1
644,134,White Cheddar,1
645,135,Sandwich,1
646,135,Meal,1
647,133,Junior,1
648,1,Junior,1
649,136,Sandwich,1
650,136,Meal,1
651,137,Mini,1
652,137,Family,1
653,138,Minor,1
654,138,Major,1
655,139,Plain,1
656,139,Nacho Cheese,1
657,139,Sour Cream,1
658,139,Texan Barbeque,1
659,139,White Cheddar,1
